stockId,stockName,type,date,price,rfPrice,rfPercent,parValue,equityMillion,circulationTenThousand,totalPrice,buildYear,onYear,股票期貨,選擇權,權證,公司債,私募股,特別股,產業別,董事長,總經理
8374,羅昇,市,10/02,29.7,1.15,4.03,10.0,11.2,11.23,33.3,39.5,19.5,nan,nan,nan,nan,有,nan,電機機械,李昌鴻,李長堅
6108,競國,市,10/02,20.8,0.65,3.23,10.0,16.0,15.99,33.3,41.8,22.1,nan,nan,nan,有,nan,nan,電子零組件業,曹月霞,賴進財
2705,六福,市,10/02,17.15,0.0,0.0,10.0,19.1,19.13,32.8,55.7,34.8,nan,nan,nan,nan,有,nan,觀光餐旅,莊豐如,莊豐如
1423,利華,市,10/02,23.65,-0.05,-0.21,10.0,9.96,13.84,32.7,59.2,44.5,nan,nan,nan,nan,nan,nan,紡織纖維,應柔爾,余美蘭
8222,寶一,市,10/02,47.7,0.7,1.49,10.0,6.86,6.86,32.7,49.0,8.68,nan,nan,nan,nan,nan,nan,電機機械,曾國浩,曾國浩
6666,羅麗芬-KY,市,10/02,68.6,-0.3,-0.44,10.0,4.74,4.74,32.5,7.0,4.87,nan,nan,nan,nan,nan,nan,生技醫療業,嘉黛國際有限公司(代表人:羅麗芬),饒煥文
2702,華園,市,10/02,20.75,-0.35,-1.66,10.0,15.7,15.66,32.5,64.2,58.6,nan,nan,nan,nan,nan,nan,觀光餐旅,陳海尼,陳海尼
3058,立德,市,10/02,20.4,0.05,0.25,10.0,16.6,15.86,32.3,53.6,20.8,nan,nan,nan,nan,有,nan,電子零組件業,包忠詒,包效禹
6754,匯僑設計,市,10/02,48.7,0.1,0.21,10.0,6.6,6.6,32.1,8.8,3.11,nan,nan,nan,nan,nan,nan,居家生活,王秀卿,楊信力
3447,展達,市,10/02,41.8,0.6,1.46,10.0,7.68,7.68,32.1,26.0,0.8,nan,nan,nan,nan,nan,nan,通信網路業,呂進宗,陳秋龍
1233,天仁,市,10/02,35.3,0.05,0.14,10.0,9.06,9.06,32.0,47.8,26.5,nan,nan,nan,nan,nan,nan,食品工業,李國麟,林仁宗
1471,首利,市,10/02,21.2,0.1,0.47,10.0,15.0,15.04,31.9,41.0,24.5,nan,nan,nan,nan,有,nan,電子零組件業,鄭傑,鄭傑
00717,富邦美國特別股,市,10/02,14.95,0.04,0.27,,,21.26,31.8,5.9,5.84,nan,nan,nan,nan,nan,nan,nan,史綱,林欣怡
8103,瀚荃,市,10/02,40.25,0.75,1.9,10.0,7.9,7.9,31.8,33.6,19.5,nan,nan,nan,有,nan,nan,電子零組件業,楊超群,竺大智
1727,中華化,市,10/02,29.2,0.0,0.0,10.0,11.8,10.82,31.6,66.9,23.1,nan,nan,nan,有,nan,nan,化學工業,干文元,江志舜
4414,如興,市,10/02,3.72,-0.04,-1.06,10.0,84.6,84.56,31.5,45.9,23.8,nan,nan,nan,nan,有,nan,紡織纖維,張水江,紀宗明
6552,易華電,市,10/02,37.6,0.55,1.48,10.0,8.3,8.3,31.2,50.0,6.73,nan,nan,nan,nan,nan,nan,半導體業,萬文財,李宛霞
4569,六方科-KY,市,10/02,100.5,0.5,0.5,10.0,3.1,3.1,31.2,3.7,0.18,nan,nan,nan,nan,nan,nan,汽車工業,盧經緯,葛仲林
2477,美隆電,市,10/02,19.6,0.05,0.26,10.0,15.9,15.86,31.1,50.7,23.6,nan,nan,nan,nan,nan,nan,其他電子業,吳維忠,吳明賢
8411,福貞-KY,市,10/02,14.2,0.05,0.35,10.0,21.8,21.84,31.0,14.1,11.9,nan,nan,nan,nan,nan,nan,其他業,李榮福,莊素貞
3591,艾笛森,市,10/02,22.4,0.0,0.0,10.0,14.2,13.77,30.8,22.0,12.9,nan,nan,nan,有,nan,nan,光電業,吳建榮,吳建榮
6668,中揚光,市,10/02,37.0,0.25,0.68,10.0,8.32,8.32,30.8,10.3,4.81,nan,nan,nan,有,nan,nan,光電業,李榮洲,許智程
4540,全球傳動,市,10/02,32.35,0.35,1.09,10.0,9.52,9.51,30.8,13.2,5.13,nan,nan,nan,nan,nan,nan,電機機械,李清崑,李進勝
3149,正達,市,10/02,13.65,-0.25,-1.8,10.0,14.4,22.43,30.6,27.3,11.9,nan,nan,nan,有,有,nan,光電業,鍾志明,鍾志明
1338,廣華-KY,市,10/02,36.4,-0.15,-0.41,10.0,8.38,8.38,30.5,13.8,10.8,nan,nan,nan,nan,nan,nan,汽車工業,余澤民,黃建中
2613,中櫃,市,10/02,20.55,-0.35,-1.67,10.0,14.8,14.84,30.5,53.8,28.7,nan,nan,nan,nan,nan,nan,航運業,林宏年,吳清泉
3312,弘憶股,市,10/02,18.75,0.0,0.0,10.0,16.3,16.26,30.5,28.0,17.9,nan,nan,nan,nan,nan,nan,電子通路業,葉佳紋,劉彥輝
00918,大華優利高填息30,市,10/02,20.58,0.4,1.98,,,14.68,30.2,0.9,0.86,nan,nan,nan,nan,nan,nan,nan,張文傑,王政修
2897A,王道銀甲特,市,10/02,10.1,0.05,0.5,,,29.9,30.2,,4.73,nan,nan,nan,nan,nan,nan,銀行業,nan,nan
00927,群益半導體收益,市,10/02,15.27,0.19,1.26,,,19.69,30.1,0.3,0.33,nan,nan,nan,nan,nan,nan,nan,賴政昇,陳明輝
1316,上曜,市,10/02,10.75,0.0,0.0,10.0,21.9,27.91,30.0,43.8,31.0,nan,nan,nan,有,nan,nan,建材營造業,張祐銘,張祐銘
3025,星通,市,10/02,42.2,0.05,0.12,10.0,5.67,7.09,29.9,31.8,22.7,nan,nan,nan,nan,nan,nan,通信網路業,葉茂林,葉茂林
