Date,Open,High,Low,Close,Volume,Adj Close
2022-05-10,60.0,61.7,59.5,61.5,420000.0,
2022-05-11,61.2,62.3,59.4,60.0,320000.0,
2022-05-12,60.5,61.7,59.4,59.5,432000.0,
2022-05-13,60.5,60.5,59.5,59.9,336000.0,
2022-05-16,60.8,61.1,60.0,60.0,269000.0,
2022-05-17,63.7,66.0,62.1,66.0,607000.0,
2022-05-18,72.6,72.6,72.6,72.6,757000.0,
2022-05-19,73.0,78.0,70.6,77.7,3770000.0,
2022-05-20,75.2,76.3,73.1,74.5,2072000.0,
2022-05-23,75.6,81.9,73.6,81.0,2867000.0,
2022-05-24,80.0,81.9,78.1,78.3,2609000.0,
2022-05-25,74.0,75.9,70.6,71.6,2722000.0,
2022-05-26,71.1,72.5,66.0,66.0,3063000.0,
2022-05-27,66.7,68.5,64.9,67.4,1768000.0,
2022-05-30,66.8,68.1,66.2,67.3,881000.0,
2022-05-31,67.3,67.8,66.6,66.8,448000.0,
2022-06-01,67.2,69.0,67.2,67.3,784000.0,
2022-06-02,67.0,67.9,66.6,66.6,530000.0,
2022-06-06,65.1,67.7,65.1,66.0,486000.0,
2022-06-07,65.3,67.0,65.3,65.8,343000.0,
2022-06-08,66.0,70.0,66.0,67.7,978000.0,
2022-06-09,67.0,67.5,66.4,66.5,585000.0,
2022-06-10,65.9,67.5,65.3,66.1,412000.0,
2022-06-13,65.1,67.4,64.6,65.8,699000.0,
2022-06-14,66.0,68.4,64.1,68.4,1571000.0,
2022-06-15,69.1,72.4,68.8,70.3,3008000.0,
2022-06-16,71.6,74.0,70.5,72.0,3733000.0,
2022-06-17,69.8,72.2,69.2,71.8,1797000.0,
2022-06-20,72.6,72.7,69.1,69.1,1682000.0,
2022-06-21,69.6,71.3,69.6,71.2,773000.0,
2022-06-22,72.7,75.0,71.3,72.2,2669000.0,
2022-06-23,73.0,73.0,70.1,70.9,1312000.0,
2022-06-24,71.5,72.6,70.2,70.4,815000.0,
2022-06-27,71.4,73.8,70.6,73.7,1439000.0,
2022-06-28,73.8,73.9,71.3,71.3,1035000.0,
2022-06-29,70.7,72.0,70.3,71.7,708000.0,
2022-06-30,71.5,71.5,69.1,69.5,814000.0,
2022-07-01,72.9,72.9,65.0,65.5,1889000.0,
2022-07-04,62.2,64.0,59.0,59.0,1952000.0,
2022-07-05,59.4,60.0,53.1,55.0,2470000.0,
2022-07-06,54.5,56.0,49.95,49.95,1755000.0,
2022-07-07,50.4,54.8,46.4,54.5,1671000.0,
2022-07-08,55.2,59.0,55.0,57.9,1606000.0,
2022-07-11,57.9,58.3,54.8,55.0,883000.0,
2022-07-12,52.4,53.5,49.85,50.2,1191000.0,
2022-07-13,51.0,51.8,50.2,50.2,622000.0,
2022-07-14,50.2,51.9,48.5,50.9,483000.0,
2022-07-15,50.7,51.7,50.4,51.4,513000.0,
2022-07-18,53.0,53.2,51.9,51.9,510000.0,
2022-07-19,51.2,52.0,50.8,51.5,308000.0,
2022-07-20,52.9,52.9,51.3,51.3,405000.0,
2022-07-21,51.1,53.3,51.1,52.9,559000.0,
2022-07-22,53.3,58.1,53.3,57.6,2293000.0,
2022-07-25,56.0,56.2,53.1,53.8,1335000.0,
2022-07-26,53.5,53.6,51.8,51.8,641000.0,
2022-07-27,51.9,53.4,51.8,53.1,279000.0,
2022-07-28,54.0,54.2,52.0,52.0,341000.0,
2022-07-29,52.8,53.0,52.2,52.7,265000.0,
2022-08-01,52.7,52.9,51.8,52.3,260000.0,
2022-08-02,51.4,53.5,51.3,52.7,469000.0,
2022-08-03,52.2,53.2,51.0,51.9,386000.0,
2022-08-04,51.9,51.9,50.6,51.2,278000.0,
2022-08-05,52.0,52.9,51.5,52.0,205000.0,
2022-08-08,50.7,51.8,50.6,51.3,269000.0,
2022-08-09,51.2,51.5,50.1,50.8,468000.0,
2022-08-10,50.6,52.2,50.2,51.4,339000.0,
2022-08-11,52.3,52.8,51.8,51.9,261000.0,
2022-08-12,51.6,52.7,51.4,52.0,258000.0,
2022-08-15,52.8,54.0,52.3,53.7,718000.0,
2022-08-16,53.0,54.2,52.9,53.2,389000.0,
2022-08-17,53.5,55.3,53.4,54.4,581000.0,
2022-08-18,53.8,54.3,53.3,53.8,306000.0,
2022-08-19,54.0,54.2,53.5,53.6,335000.0,
2022-08-22,54.0,56.9,53.6,55.8,1670000.0,
2022-08-23,54.8,55.9,54.1,54.3,663000.0,
2022-08-24,54.5,56.3,54.3,54.6,512000.0,
2022-08-25,55.2,55.4,53.0,53.3,765000.0,
2022-08-26,54.0,54.7,53.3,54.0,407000.0,
2022-08-29,52.0,53.4,51.8,53.0,311000.0,
